T+COPN
+COPN: "20201","COSMOTE"
+COPN: "20205","vodafone"
+COPN: "20209","Q-TELECOM"
+COPN: "20210","TIM"
+COPN: "20404","vodafone"
+COPN: "20408","KPN MOBILE"
+COPN: "20412","Telfort B.V."
+COPN: "20416","T-Mobile NL"
+COPN: "20420","Orange Nederland N.V."
+COPN: "20601","PROXIMUS"
+COPN: "20610","Mobistar"
+COPN: "20620","BASE"
+COPN: "20801","Orange F"
+COPN: "20810","SFR"
+COPN: "20820","BOUYGUES TELECOM"
+COPN: "21303","MOBILAND"
+COPN: "21401","vodafone"
+COPN: "21403","Retevision Movil"
+COPN: "21404","XFERA"
+COPN: "21407","MOVISTAR"
+COPN: "21601","PANNON GSM"
+COPN: "21630","T-Mobile H"
+COPN: "21670","vodafone"
+COPN: "21803","ERONET"
+COPN: "21805","Mobilna Srpske"
+COPN: "21890","GSMBIH"
+COPN: "21901","T-Mobile HR"
+COPN: "21910","VIP-NET"
+COPN: "22001","MOBTEL"
+COPN: "22002","PROMONTE GSM"
+COPN: "22003","Telekom Srbija"
+COPN: "22004","MONET D.O.O."
+COPN: "22201","TELECOM ITALIA MOBILE"
+COPN: "22210","vodafone"
+COPN: "22288","Wind Telecom SpA"
+COPN: "22299","H3G"
+COPN: "22601","CONNEX GSM"
+COPN: "22603","Cosmorom SA"
+COPN: "22610","ORANGE"
+COPN: "22801","SWISS GSM"
+COPN: "22802","sunrise"
+COPN: "22803","Orange"
+COPN: "23001","T-Mobile CZ"
+COPN: "23002","EUROTEL PRAHA"
+COPN: "23003","OSKAR"
+COPN: "23101","Orange SK"
+COPN: "23102","EUROTEL GSM"
+COPN: "23201","A1"
+COPN: "23203","T-Mobile A"
+COPN: "23205","one"
+COPN: "23207","Tele.Ring"
+COPN: "23210","3 AT"
+COPN: "23403","France Telecom Mobile"
+COPN: "23410","O2"
+COPN: "23415","vodafone"
+COPN: "23420","3 UK"
+COPN: "23430","T-Mobile"
+COPN: "23431","T-Mobile"
+COPN: "23432","T-Mobile"
+COPN: "23433","ORANGE"
+COPN: "23450","JERSEY TELECOMS GSM"
+COPN: "23455","Cable & Wireless Guernsey"
+COPN: "23458","Pronto GSM"
+COPN: "23801","TDC Mobil"
+COPN: "23802","SONOFON"
+COPN: "23806","3 DK"
+COPN: "23820","TELIA DK"
+COPN: "23830","Orange A/S"
+COPN: "24001","TELIA MOBILE"
+COPN: "24002","3 SE"
+COPN: "24004","Hi3G Access AB"
+COPN: "24005","COMVIQ GSM "
+COPN: "24007","Tele2Comviq"
+COPN: "24008","vodafone"
+COPN: "24010","Swefour AB"
+COPN: "24201","TELENOR"
+COPN: "24202","NetCom"
+COPN: "24403","FINNET"
+COPN: "24405","Elisa Corporation"
+COPN: "24409","FINNET"
+COPN: "24412","FINNET"
+COPN: "24414","Alands Mobiltelefon AB"
+COPN: "24491","SONERA"
+COPN: "24601","OMNITEL"
+COPN: "24602","BITE GSM"
+COPN: "24603","TELE2"
+COPN: "24701","LMT GSM"
+COPN: "24702","TELE2"
+COPN: "24801","EMT GSM"
+COPN: "24802","RADIOLINJA EESTI"
+COPN: "24803","TELE2"
+COPN: "25001","MTS"
+COPN: "25002","MegaFon"
+COPN: "25004","SIBCHALLENGE"
+COPN: "25005","SCS-900"
+COPN: "25007","SMARTS"
+COPN: "25010","DonTeleCom"
+COPN: "25011","ORENSOT"
+COPN: "25012","Far Eastern Cellular"
+COPN: "25013","Kuban-GSM"
+COPN: "25015","SMARTS-Ufa"
+COPN: "25016","New Telephone Company"
+COPN: "25017","ERMAK RMS"
+COPN: "25019","BASHCELL"
+COPN: "25020","MOTIV"
+COPN: "25028","EXTEL"
+COPN: "25039","South Ural Cellular"
+COPN: "25044","North Caucasian GSM"
+COPN: "25092","Primetelephone"
+COPN: "25099","Bee Line GSM"
+COPN: "25501","UMC"
+COPN: "25502","WellCOM"
+COPN: "25503","KYIVSTAR"
+COPN: "25505","GOLDEN TELECOM"
+COPN: "25506","Astelit"
+COPN: "25701","VELCOM"
+COPN: "25702","MTS"
+COPN: "25901","VoXtel S.A."
+COPN: "25902","MOLDCELL"
+COPN: "26001","Plus GSM"
+COPN: "26002","Era"
+COPN: "26003","IDEA Centertel"
+COPN: "26201","D1"
+COPN: "26202","vodafone"
+COPN: "26203","E-Plus"
+COPN: "26207","O2 (Germany)"
+COPN: "26208","O2 (Germany)"
+COPN: "26213","Mobilcom"
+COPN: "26601","GIBTEL"
+COPN: "26801","vodafone"
+COPN: "26803","OPTIMUS"
+COPN: "26806","TMN"
+COPN: "27001","LUXGSM"
+COPN: "27077","TANGO"
+COPN: "27099","VOX.mobile"
